fullVisitorId,labels,Metric,Value
0000213131142648941,0,visit_Cnt,0.0
0000435324061339869,0,visit_Cnt,0.007299270072992701
0000562678147042735,0,visit_Cnt,0.0036496350364963502
0000585708896049892,0,visit_Cnt,0.0
0000852801263780322,0,visit_Cnt,0.0
0001123528056036404,0,visit_Cnt,0.0
0001905118576359487,0,visit_Cnt,0.0036496350364963502
0002527528149176601,0,visit_Cnt,0.0
0002709834583138581,0,visit_Cnt,0.0036496350364963502
0002838359588704338,0,visit_Cnt,0.0
0003038010493412298,0,visit_Cnt,0.0036496350364963502
0003961110741104601,0,visit_Cnt,0.0036496350364963502
0004638983005167591,0,visit_Cnt,0.025547445255474453
0005339642194263188,0,visit_Cnt,0.05474452554744525
0005791622267997002,0,visit_Cnt,0.018248175182481754
0005879659021728039,0,visit_Cnt,0.014598540145985401
0005987390541733447,0,visit_Cnt,0.0
0006173812362189693,0,visit_Cnt,0.025547445255474453
0006911334202687206,0,visit_Cnt,0.007299270072992701
0007370307513460988,0,visit_Cnt,0.007299270072992701
0007610360596308606,0,visit_Cnt,0.0
0007617910709180468,0,visit_Cnt,0.010948905109489052
0007785136914311905,0,visit_Cnt,0.018248175182481754
0007933257389091624,0,visit_Cnt,0.010948905109489052
0007943880251511904,0,visit_Cnt,0.0036496350364963502
0008569875679640708,0,visit_Cnt,0.0
0008635110543627771,0,visit_Cnt,0.007299270072992701
0008803033727416939,0,visit_Cnt,0.0
0009046037663524262,0,visit_Cnt,0.014598540145985401
0009644182629851608,0,visit_Cnt,0.0036496350364963502
0010235349034444058,0,visit_Cnt,0.0
0011012202755429691,0,visit_Cnt,0.0
0011018661240317813,0,visit_Cnt,0.014598540145985401
0011223364686614335,0,visit_Cnt,0.0
0012559495913113852,0,visit_Cnt,0.0
0012561433643490595,0,visit_Cnt,0.007299270072992701
0013296981549010416,0,visit_Cnt,0.0
0013937734216012052,0,visit_Cnt,0.010948905109489052
0014253006455543633,0,visit_Cnt,0.0036496350364963502
0014262055593378383,0,visit_Cnt,0.025547445255474453
0015618322761092379,0,visit_Cnt,0.0
0015950283479889703,0,visit_Cnt,0.010948905109489052
0016474246784013973,0,visit_Cnt,0.0
0016600374334482677,0,visit_Cnt,0.007299270072992701
0016925875208939543,0,visit_Cnt,0.018248175182481754
0018386080117189534,0,visit_Cnt,0.0036496350364963502
0018400544049332170,0,visit_Cnt,0.0
0019772767330770548,0,visit_Cnt,0.0036496350364963502
0019814677684676098,0,visit_Cnt,0.025547445255474453
0020153652546549774,0,visit_Cnt,0.007299270072992701
0020342483972052451,0,visit_Cnt,0.0036496350364963502
0020502892485275044,0,visit_Cnt,0.007299270072992701
0020712449954637118,0,visit_Cnt,0.0036496350364963502
0020772809165725592,0,visit_Cnt,0.007299270072992701
