fullVisitorId,labels
0000213131142648941,0
0000435324061339869,0
0000562678147042735,0
0000585708896049892,0
0000852801263780322,0
0001123528056036404,0
0001905118576359487,0
0002527528149176601,0
0002709834583138581,0
0002838359588704338,0
0003038010493412298,0
0003961110741104601,0
0004638983005167591,0
0005339642194263188,0
0005791622267997002,0
0005879659021728039,0
0005987390541733447,0
0006173812362189693,0
0006911334202687206,0
0007370307513460988,0
0007610360596308606,0
0007617910709180468,0
0007785136914311905,0
0007933257389091624,0
0007943880251511904,0
0008569875679640708,0
0008635110543627771,0
0008803033727416939,0
0009046037663524262,0
0009644182629851608,0
0010235349034444058,0
0011012202755429691,0
0011018661240317813,0
0011223364686614335,0
0012559495913113852,0
0012561433643490595,0
0013296981549010416,0
0013937734216012052,0
0014253006455543633,0
0014262055593378383,0
0015618322761092379,0
0015950283479889703,0
0016474246784013973,0
0016600374334482677,0
0016925875208939543,0
0018386080117189534,0
0018400544049332170,0
0019772767330770548,0
0019814677684676098,0
0020153652546549774,0
0020342483972052451,0
0020502892485275044,0
0020712449954637118,0
0020772809165725592,0
0020941213751022444,0
0021724590578150399,0
0021939395292136520,0
0022078954710203778,0
0024164219255036061,0
0024304007537579808,0
0024314485741511650,0
0024725579067754075,0
0024932550342595467,0
0025383618704224288,0
0025733439009029964,0
0026203741366904270,0
0026286046518884836,0
0026329820781202527,0
0026401348536755877,0
0027729301290398668,0
0027819532062608348,0
0028714765282885780,0
0028920166996312450,0
0028984301129433960,0
0029131400687020410,0
0029534875378731789,0
0029617802319560280,0
0030596413607230095,0
0030600107416389173,0
0031037404193448771,0
0031607904142435840,0
0031812050678769251,0
0032080452871669006,0
0032285388804234573,0
0032288790526152703,0
0032417370717978320,0
0032604353961096725,0
0032658239211545930,0
0032685444859747984,0
0033024620802809684,0
0034988778973749269,0
0035322769016923863,0
0035660671109530802,0
0036131108463384213,0
0036194035121102485,0
0036266427154622625,0
0036417634769000138,0
0036419370338727902,0
0036617629525523089,0
0036703532725992752,0
0036810350983196519,0
0037220895437756047,0
0037518757923116572,0
0037806222406366969,0
0038111265827681261,0
0038208004954801781,0
0038212114833888799,0
0039194810552478835,0
0039355803762628039,0
0039400440658825933,0
0039541267107154262,0
0039844092206555576,0
0040332680018799680,0
0040361081244991496,0
0041938820295489339,0
0041955139058139143,0
0042057117403474149,0
0042122995088591617,0
0042147785799333528,0
0042744959300558986,0
0042872006688710090,0
0043584487743669327,0
0043770390702768717,0
0043984908262145271,0
0044206379216818403,0
0044860406295705915,0
0044869357011346837,0
0045204488424585972,0
0045411762601202035,0
0045695832453548364,0
0047096740790346861,0
0047471876951764213,0
0047507722101025881,0
0047509547902079820,0
0047511660497565285,0
0048002411086393228,0
0048315652365779540,0
0049618887282998852,0
0049628940161747998,0
0049832664882617771,0
0051204193313789401,0
0051257374560700342,0
0051312971389642254,0
0051516119104547275,0
0052757360225662149,0
0052868681653220057,0
0052947395050573230,0
0053010816158486672,0
0053077699040878872,0
0053534274976399191,0
0053544367470918772,0
0053866968780969645,0
0054279989591037024,0
0054330779667294142,0
0054391506396728030,0
0054635571205456448,0
0054873055567921661,0
0055230885834366137,0
0055817731640677436,0
0056623046680377668,0
0056746998029721050,0
0057074893306125434,0
0057216119262557235,0
0057601461431341521,0
0057601503302114470,0
0057693500927581077,0
0057826677844639343,0
0058062449645143625,0
0060208176042336566,0
0060402135554655326,0
0060552898118020687,0
0060637300837021971,0
0060709694942461401,0
0060802643524541285,0
0060873674881142784,0
0061519776091452595,0
0061548717459564263,0
0062301548425288744,0
0062337808774510362,0
0062398744583501057,0
0062722204677243801,0
0063411837669447330,0
0063706256894298571,0
0063736161805998675,0
0064739735733627926,0
0065245131914018329,0
0066547844041573580,0
0067046950690742012,0
0067144867645757015,0
0067427211374180015,0
0067475292701707948,0
0067516997967648879,0
0067566216922331849,0
0067586620214837441,0
0068301324269312205,0
0068337214858488115,0
0068546456225736307,0
0068590151265795437,0
0068932429089394729,0
0069147671341681060,0
0069563023975860043,0
0069780920436052632,0
0069932627935135372,0
0069975515256019300,0
0070622933908011467,0
0070749496194697211,0
0070893140406305841,0
0070976956518566605,0
0071298010648822329,0
0071731629789524187,0
0071915269577377513,0
0072256802357894342,0
0072595322994470645,0
0072816889761746008,0
0072871379479619546,0
0072871522029318255,0
0072965257504694282,0
0074075706296764845,0
0074650632244292633,0
0075015293465008373,0
0075154193118539969,0
0075338234785752253,0
0075449012662152580,0
0076255265047374256,0
0076529729049367813,0
0077222285299709169,0
0077910788641080085,0
0079204932396995037,3
0079363053947930450,0
0079455793222269162,0
0079475762358903551,0
0079656074413776629,0
0079827535407240779,0
0079867210646960655,0
0080317544461352905,0
0080533986466271934,0
0081281456829886913,0
0081556422471965129,0
0081840705529000272,0
0081985686030532619,0
0082234340449923799,0
0082422266360134560,0
0082806901961150595,0
0083055806370747628,0
0083964139069484153,0
0084372863075461291,0
0084383590795093998,0
0084741906853491251,0
0084834161383601528,0
0085057281729508802,0
0085193654581094288,0
0085319952392271706,0
0085830972238265715,0
0085857472938612779,0
0086102919761743448,0
0086382053515995633,0
0086439549065030167,0
0087422696443112888,0
0087919605807565397,0
0088657980877164102,0
0088945266147609238,0
0089261173995807343,0
0089893008278013433,0
0090053188432158994,0
0090327840318017838,0
0091281264079346677,0
0091725120799498455,0
0091784190289128568,0
0091992348252102887,0
0092577710025173656,0
0092787485928461155,0
0092836986022494187,0
0093310453484553750,0
0094024465151480107,0
0094073617799666175,0
0094314192369270538,0
0094901025743788716,0
0095069773067468232,0
0095747507496204221,0
0096138798737237315,0
0096749416396933823,0
0096830421763570474,0
0096843987855909025,0
0097021672781707916,0
0097216552247524030,0
0097371986665596420,0
0097563825178820508,0
0099448207973363509,0
0099879093370825436,0
0100290510717383378,0
0101246539776970727,0
0101514212085223206,0
0102127042498450827,0
0102527091741838919,0
