fullVisitorId,totals_totalTransactionRevenue,revenue_pct,id_count,id_pct
1957458976293878100,9430764.76,10.838925802095222,1,0.010614584439019211
9417857471295131045,3487745.46,14.84744634306718,1,0.021229168878038423
5632276788326171571,2180454.0,17.3534763122509,1,0.03184375331705763
8942866004645538967,1457458.8,19.028556562350445,1,0.042458337756076846
5526675926038480325,969045.0,20.14229517434943,1,0.05307292219509606
3244885836845029978,795070.1799999999,21.056081797999504,1,0.06368750663411527
6226617329849661943,773636.7,21.94523458703353,1,0.07430209107313449
9089132392240687728,745009.52,22.801485709252656,1,0.08491667551215369
2446685875964479851,627012.26,23.522120730493928,1,0.09553125995117291
1814166460229302850,589049.76,24.199124855277336,1,0.10614584439019212
3979618861854336423,568186.9400000001,24.852151013929983,1,0.11676042882921134
1956307607572137989,558800.86,25.494389603675806,1,0.12737501326823053
9029794295932939024,548778.19,26.125108981646818,1,0.13798959770724978
5469079519715865124,459888.8,26.653666390008535,1,0.14860418214626897
6805387544309582877,425386.48,27.142569741037985,1,0.1592187665852882
6010250598436085923,415640.91000000003,27.62027235566723,1,0.16983335102430738
4984366501121503466,409858.65,28.09132932821936,1,0.1804479354633266
7311242886083854158,399114.36,28.550037719816512,1,0.19106251990234582
7463172420271311409,377834.94,28.9842893403711,1,0.20167710434136504
9026840718082010040,367315.0,29.40645022894326,1,0.21229168878038424
4835082938415020542,352081.09,29.811102545902422,1,0.22290627321940346
4759981878863963838,351143.6,30.21467739090583,1,0.23352085765842268
7284466025557220497,346886.01,30.61335892096818,1,0.24413544209744187
6760732402251466726,343234.72,31.007843966185543,1,0.25475002653646106
1410336440849356236,341658.0,31.400516862385775,1,0.2653646109754803
4471415710206918415,322991.6,31.77173617239855,1,0.27597919541449956
7113011772090059658,316603.22,32.13561321711496,1,0.28659377985351875
7638336411447332495,307333.36,32.48883626639273,1,0.29720836429253794
9662800125044386280,306372.3,32.84095475434422,1,0.30782294873155713
8436426603099391262,293276.6,33.17802214896034,1,0.3184375331705764
8197879643797712877,292757.73,33.514493198150184,1,0.3290521176095956
9771437221362506189,287657.6,33.84510258796693,1,0.33966670204861477
7713012430069756739,285040.08,34.17270362100799,1,0.350281286487634
6236695646664370912,284962.76,34.50021578896077,1,0.3608958709266532
5341271361784611942,281344.37,34.8235692845544,1,0.37151045536567245
0517804428885255967,279620.68,35.14494171620557,1,0.38212503980469165
0216182135691067032,279108.32,35.46572528447554,1,0.39273962424371084
9817395183603701442,261600.0,35.766386266059406,1,0.4033542086827301
4604965471651937146,244512.9,36.04740877570741,1,0.4139687931217492
1070774421633587976,238343.84,36.32134108797372,1,0.42458337756076847
0119870259714905967,236523.42,36.59318116299196,1,0.4351979619997877
3835134197841326255,234359.87,36.862534636073256,1,0.4458125464388069
9725941383382274621,233135.0,37.13048034685902,1,0.45642713087782616
0291002892578472269,230251.13,37.395111580638044,1,0.46704171531684535
2920116282116200226,221046.65999999997,37.64916397273068,1,0.4776562997558646
5617770153245303309,212560.0,37.89346251342436,1,0.48827088419488374
3921649958751416379,210688.71,38.135610351181384,1,0.498885468633903
6147396474895233852,208016.74000000002,38.37468725192403,1,0.5095000530729221
0079204932396995037,206689.65,38.61223890732244,1,0.5201146375119414
8161635015929084485,206469.0,38.84953696621632,1,0.5307292219509606
3329885141648806984,197043.5,39.07600215017932,1,0.5413438063899798
6499749315992064304,195397.5,39.30057556053495,1,0.5519583908289991
0088945266147609238,193717.68,39.52321832742695,1,0.5625729752680182
0566055411938639598,191884.08,39.74375370909024,1,0.5731875597070375
0951979273858392158,190309.05,39.962478884079886,1,0.5838021441460567
1109190750765217972,183554.23,40.173440638535816,1,0.5944167285850759
9127657904050953509,179352.78,40.37957360063289,1,0.6050313130240951
